GSSCode,year,diversity
E01000983,2021,1.237
E01000989,2011,1.287
E01000989,2021,1.163
E01001131,2011,1.063
E01001131,2021,0.929
E01001134,2011,1.15
E01001134,2021,1.122
E01001008,2011,1.236
E01001008,2021,1.392
E01001010,2011,1.218
E01001010,2021,1.412
E01001012,2011,0.816
E01001012,2021,1.443
E01001110,2011,1.258
E01001110,2021,1.411
E01034141,2011,0.946
E01034141,2021,1.384
E01034143,2011,0.849
E01034143,2021,1.451
E01000986,2011,0.83
E01000986,2021,1.262
E01000993,2011,1.284
E01000993,2021,1.236
E01000976,2011,1.073
E01000976,2021,1.286
E01000978,2011,1.274
E01000978,2021,1.327
E01000984,2011,1.216
E01000984,2021,1.393
E01001046,2011,1.231
E01001046,2021,1.319
E01001050,2011,1.086
E01001050,2021,1.348
E01001165,2011,0.794
E01001165,2021,1.354
E01001168,2011,0.986
E01001168,2021,1.232
E01034145,2011,0.896
E01034145,2021,1.445
E01001127,2011,1.156
E01001127,2021,1.118
E01001130,2011,0.94
E01001130,2021,1.353
E01001062,2011,1.042
E01001062,2021,1.086
E01001064,2011,0.78
E01001064,2021,1.163
E01001133,2011,0.638
E01001133,2021,0.948
E01001169,2011,0.744
E01001169,2021,1.347
E01001172,2011,0.904
E01001172,2021,1.34
E01001036,2011,0.584
E01001036,2021,1.14
E01001038,2011,0.696
E01001038,2021,1.17
E01001040,2011,0.719
E01001040,2021,1.187
E01001052,2011,0.621
E01001052,2021,1.241
E01001056,2011,0.449
E01001056,2021,1.213
E01001033,2011,0.673
E01001033,2021,1.219
E01001041,2011,0.716
E01001041,2021,1.332
E01001100,2011,0.723
E01001100,2021,1.135
E01001055,2011,0.733
E01001055,2021,1.04
E01001078,2011,0.784
E01001078,2021,1.03
E01001120,2011,0.995
E01001120,2021,1.005
E01001123,2011,0.932
E01001123,2021,1.045
E01001125,2011,0.807
